bbox,text,confidence
0,"[[np.int32(339), 0], [np.int32(678), 0], [np.int32(678), np.int32(30)], [np.int32(339), np.int32(30)]]",Triaxvs_ Buov Wave Data_,0.37800597790382706
1,"[[np.int32(832), 0], [np.int32(1016), 0], [np.int32(1016), np.int32(22)], [np.int32(832), np.int32(22)]]",18/05/2025 17.24 ST,0.7141241355138195
2,"[[np.int32(5), np.int32(25)], [np.int32(19), np.int32(25)], [np.int32(19), np.int32(67)], [np.int32(5), np.int32(67)]]",1,0.3649035987828064
3,"[[np.int32(792), np.int32(24)], [np.int32(846), np.int32(24)], [np.int32(846), np.int32(48)], [np.int32(792), np.int32(48)]]",Peak,0.5812275868903695
4,"[[np.int32(881), np.int32(25)], [np.int32(957), np.int32(25)], [np.int32(957), np.int32(63)], [np.int32(881), np.int32(63)]]",8.70,0.3422381319342249
5,"[[np.int32(787), np.int32(47)], [np.int32(853), np.int32(47)], [np.int32(853), np.int32(67)], [np.int32(787), np.int32(67)]]",Perind,0.8936583426229441
6,"[[np.int32(5), np.int32(65)], [np.int32(19), np.int32(65)], [np.int32(19), np.int32(101)], [np.int32(5), np.int32(101)]]",3,0.2512727444225362
7,"[[np.int32(790), np.int32(64)], [np.int32(848), np.int32(64)], [np.int32(848), np.int32(88)], [np.int32(790), np.int32(88)]]",Mean,0.9999996423721313
8,"[[np.int32(881), np.int32(67)], [np.int32(957), np.int32(67)], [np.int32(957), np.int32(103)], [np.int32(881), np.int32(103)]]",6.90,0.9999961853027344
9,"[[np.int32(51), np.int32(91)], [np.int32(83), np.int32(91)], [np.int32(83), np.int32(105)], [np.int32(51), np.int32(105)]]",18.00,0.934337346780564
10,"[[np.int32(109), np.int32(93)], [np.int32(139), np.int32(93)], [np.int32(139), np.int32(105)], [np.int32(109), np.int32(105)]]",20.00,0.9843519468829708
11,"[[np.int32(165), np.int32(93)], [np.int32(195), np.int32(93)], [np.int32(195), np.int32(105)], [np.int32(165), np.int32(105)]]",22.00,0.972839006727569
12,"[[np.int32(215), np.int32(93)], [np.int32(255), np.int32(93)], [np.int32(255), np.int32(105)], [np.int32(215), np.int32(105)]]",18 May,0.70881272921778
13,"[[np.int32(277), np.int32(91)], [np.int32(309), np.int32(91)], [np.int32(309), np.int32(105)], [np.int32(277), np.int32(105)]]",02.00,0.9739126597378769
14,"[[np.int32(333), np.int32(91)], [np.int32(365), np.int32(91)], [np.int32(365), np.int32(105)], [np.int32(333), np.int32(105)]]",04.00,0.8705989935786106
15,"[[np.int32(389), np.int32(93)], [np.int32(419), np.int32(93)], [np.int32(419), np.int32(105)], [np.int32(389), np.int32(105)]]",06.00,0.9487671015719809
16,"[[np.int32(445), np.int32(93)], [np.int32(477), np.int32(93)], [np.int32(477), np.int32(105)], [np.int32(445), np.int32(105)]]",08.00,0.9884357416888238
17,"[[np.int32(503), np.int32(91)], [np.int32(533), np.int32(91)], [np.int32(533), np.int32(105)], [np.int32(503), np.int32(105)]]",10.00,0.9329012387225178
18,"[[np.int32(559), np.int32(91)], [np.int32(589), np.int32(91)], [np.int32(589), np.int32(105)], [np.int32(559), np.int32(105)]]",12.00,0.8181196057633555
19,"[[np.int32(615), np.int32(91)], [np.int32(647), np.int32(91)], [np.int32(647), np.int32(105)], [np.int32(615), np.int32(105)]]",14.00,0.9577698877908234
20,"[[np.int32(671), np.int32(91)], [np.int32(703), np.int32(91)], [np.int32(703), np.int32(105)], [np.int32(671), np.int32(105)]]",16.00,0.9117599834673576
21,"[[np.int32(786), np.int32(88)], [np.int32(854), np.int32(88)], [np.int32(854), np.int32(112)], [np.int32(786), np.int32(112)]]",Period,0.9999662736490331
22,"[[np.int32(373), np.int32(105)], [np.int32(405), np.int32(105)], [np.int32(405), np.int32(119)], [np.int32(373), np.int32(119)]]",Time,0.9949572086334229
23,"[[np.int32(798), np.int32(110)], [np.int32(844), np.int32(110)], [np.int32(844), np.int32(134)], [np.int32(798), np.int32(134)]]",Max,0.9999935304043551
24,"[[np.int32(882), np.int32(114)], [np.int32(954), np.int32(114)], [np.int32(954), np.int32(146)], [np.int32(882), np.int32(146)]]",4.44,0.632579291814557
25,"[[np.int32(5), np.int32(117)], [np.int32(19), np.int32(117)], [np.int32(19), np.int32(173)], [np.int32(5), np.int32(173)]]",1,0.2688768958776997
26,"[[np.int32(779), np.int32(133)], [np.int32(861), np.int32(133)], [np.int32(861), np.int32(175)], [np.int32(779), np.int32(175)]]",Highest,0.9853700797833018
27,"[[np.int32(881), np.int32(149)], [np.int32(957), np.int32(149)], [np.int32(957), np.int32(187)], [np.int32(881), np.int32(187)]]",3.95,0.9999772906303406
28,"[[np.int32(5), np.int32(171)], [np.int32(19), np.int32(171)], [np.int32(19), np.int32(207)], [np.int32(5), np.int32(207)]]",3,0.11708277675069301
29,"[[np.int32(791), np.int32(171)], [np.int32(845), np.int32(171)], [np.int32(845), np.int32(191)], [np.int32(791), np.int32(191)]]",Tenth,0.9999459414443234
30,"[[np.int32(51), np.int32(205)], [np.int32(83), np.int32(205)], [np.int32(83), np.int32(219)], [np.int32(51), np.int32(219)]]",18.00,0.9112653055533279
31,"[[np.int32(109), np.int32(207)], [np.int32(139), np.int32(207)], [np.int32(139), np.int32(219)], [np.int32(109), np.int32(219)]]",20.00,0.9793290169728417
32,"[[np.int32(165), np.int32(205)], [np.int32(197), np.int32(205)], [np.int32(197), np.int32(219)], [np.int32(165), np.int32(219)]]",22.00,0.9869577470803597
33,"[[np.int32(217), np.int32(205)], [np.int32(257), np.int32(205)], [np.int32(257), np.int32(219)], [np.int32(217), np.int32(219)]]",18 May,0.8294794617655481
34,"[[np.int32(279), np.int32(205)], [np.int32(311), np.int32(205)], [np.int32(311), np.int32(219)], [np.int32(279), np.int32(219)]]",02.00,0.9393183357205491
35,"[[np.int32(335), np.int32(205)], [np.int32(367), np.int32(205)], [np.int32(367), np.int32(219)], [np.int32(335), np.int32(219)]]",04.00,0.9792064698581272
36,"[[np.int32(391), np.int32(205)], [np.int32(423), np.int32(205)], [np.int32(423), np.int32(219)], [np.int32(391), np.int32(219)]]",06.00,0.9412964557307363
37,"[[np.int32(449), np.int32(205)], [np.int32(481), np.int32(205)], [np.int32(481), np.int32(219)], [np.int32(449), np.int32(219)]]",08.00,0.9757745215807623
38,"[[np.int32(505), np.int32(205)], [np.int32(537), np.int32(205)], [np.int32(537), np.int32(219)], [np.int32(505), np.int32(219)]]",10.00,0.9642827989146421
39,"[[np.int32(563), np.int32(205)], [np.int32(595), np.int32(205)], [np.int32(595), np.int32(219)], [np.int32(563), np.int32(219)]]",12.00,0.8522745897073836
40,"[[np.int32(627), np.int32(207)], [np.int32(651), np.int32(207)], [np.int32(651), np.int32(219)], [np.int32(627), np.int32(219)]]",4.00,0.992428183555603
41,"[[np.int32(677), np.int32(205)], [np.int32(709), np.int32(205)], [np.int32(709), np.int32(219)], [np.int32(677), np.int32(219)]]",16.00,0.9349161711578884
42,"[[np.int32(798), np.int32(188)], [np.int32(834), np.int32(188)], [np.int32(834), np.int32(214)], [np.int32(798), np.int32(214)]]",Sig_,0.9987232685089111
43,"[[np.int32(881), np.int32(187)], [np.int32(955), np.int32(187)], [np.int32(955), np.int32(225)], [np.int32(881), np.int32(225)]]",3.19,0.9999790787696838
44,"[[np.int32(377), np.int32(219)], [np.int32(407), np.int32(219)], [np.int32(407), np.int32(233)], [np.int32(377), np.int32(233)]]",Time,0.9622578620910645
45,"[[np.int32(786), np.int32(212)], [np.int32(854), np.int32(212)], [np.int32(854), np.int32(236)], [np.int32(786), np.int32(236)]]",Height,0.843160403995948
46,"[[np.int32(7), np.int32(241)], [np.int32(21), np.int32(241)], [np.int32(21), np.int32(273)], [np.int32(7), np.int32(273)]]",8,0.9719645796265155
47,"[[np.int32(23), np.int32(245)], [np.int32(45), np.int32(245)], [np.int32(45), np.int32(259)], [np.int32(23), np.int32(259)]]",320,0.7282987833023071
48,"[[np.int32(727), np.int32(245)], [np.int32(749), np.int32(245)], [np.int32(749), np.int32(259)], [np.int32(727), np.int32(259)]]",320,0.7227519154548645
49,"[[np.int32(23), np.int32(267)], [np.int32(45), np.int32(267)], [np.int32(45), np.int32(281)], [np.int32(23), np.int32(281)]]",256,0.9998662732215389
50,"[[np.int32(727), np.int32(267)], [np.int32(749), np.int32(267)], [np.int32(749), np.int32(281)], [np.int32(727), np.int32(281)]]",256,0.9998578766638261
51,"[[np.int32(5), np.int32(273)], [np.int32(19), np.int32(273)], [np.int32(19), np.int32(325)], [np.int32(5), np.int32(325)]]",8,0.13290239149279515
52,"[[np.int32(23), np.int32(289)], [np.int32(45), np.int32(289)], [np.int32(45), np.int32(303)], [np.int32(23), np.int32(303)]]",192,0.999999449395897
53,"[[np.int32(727), np.int32(289)], [np.int32(749), np.int32(289)], [np.int32(749), np.int32(303)], [np.int32(727), np.int32(303)]]",192,0.999999449395897
54,"[[np.int32(23), np.int32(311)], [np.int32(45), np.int32(311)], [np.int32(45), np.int32(323)], [np.int32(23), np.int32(323)]]",128,0.9999987611408254
55,"[[np.int32(727), np.int32(311)], [np.int32(749), np.int32(311)], [np.int32(749), np.int32(323)], [np.int32(727), np.int32(323)]]",128,0.9999990364428464
56,"[[np.int32(7), np.int32(325)], [np.int32(19), np.int32(325)], [np.int32(19), np.int32(359)], [np.int32(7), np.int32(359)]]",9,0.07498329139083637
57,"[[np.int32(821), np.int32(331)], [np.int32(843), np.int32(331)], [np.int32(843), np.int32(345)], [np.int32(821), np.int32(345)]]",SWN,0.33855156733695024
58,"[[np.int32(51), np.int32(369)], [np.int32(83), np.int32(369)], [np.int32(83), np.int32(383)], [np.int32(51), np.int32(383)]]",18.00,0.9715851024610831
59,"[[np.int32(107), np.int32(369)], [np.int32(139), np.int32(369)], [np.int32(139), np.int32(383)], [np.int32(107), np.int32(383)]]",20.00,0.7649244272602744
60,"[[np.int32(163), np.int32(369)], [np.int32(195), np.int32(369)], [np.int32(195), np.int32(383)], [np.int32(163), np.int32(383)]]",22.00,0.9860706540434905
61,"[[np.int32(215), np.int32(369)], [np.int32(253), np.int32(369)], [np.int32(253), np.int32(383)], [np.int32(215), np.int32(383)]]",18 May,0.9587757216584158
62,"[[np.int32(273), np.int32(369)], [np.int32(305), np.int32(369)], [np.int32(305), np.int32(383)], [np.int32(273), np.int32(383)]]",02.00,0.6748245327634907
63,"[[np.int32(329), np.int32(369)], [np.int32(361), np.int32(369)], [np.int32(361), np.int32(383)], [np.int32(329), np.int32(383)]]",04.00,0.9894025996986008
64,"[[np.int32(385), np.int32(369)], [np.int32(417), np.int32(369)], [np.int32(417), np.int32(383)], [np.int32(385), np.int32(383)]]",06.00,0.9478177845642123
65,"[[np.int32(443), np.int32(369)], [np.int32(473), np.int32(369)], [np.int32(473), np.int32(383)], [np.int32(443), np.int32(383)]]",08.00,0.9479399454247185
66,"[[np.int32(499), np.int32(369)], [np.int32(529), np.int32(369)], [np.int32(529), np.int32(383)], [np.int32(499), np.int32(383)]]",10.00,0.5465819247188219
67,"[[np.int32(555), np.int32(369)], [np.int32(585), np.int32(369)], [np.int32(585), np.int32(383)], [np.int32(555), np.int32(383)]]",12.00,0.9485148329878689
68,"[[np.int32(609), np.int32(369)], [np.int32(641), np.int32(369)], [np.int32(641), np.int32(383)], [np.int32(609), np.int32(383)]]",14.00,0.946161892529589
69,"[[np.int32(665), np.int32(369)], [np.int32(697), np.int32(369)], [np.int32(697), np.int32(383)], [np.int32(665), np.int32(383)]]",16.00,0.9482628553266984
70,"[[np.int32(19), np.int32(381)], [np.int32(51), np.int32(381)], [np.int32(51), np.int32(393)], [np.int32(19), np.int32(393)]]",Fort,0.6780489087104797
71,"[[np.int32(56), np.int32(382)], [np.int32(110), np.int32(382)], [np.int32(110), np.int32(390)], [np.int32(56), np.int32(390)]]",Taradaki,0.6564303218998414
72,"[[np.int32(118), np.int32(382)], [np.int32(140), np.int32(382)], [np.int32(140), np.int32(390)], [np.int32(118), np.int32(390)]]",Lcd,0.3835593808213873
73,"[[np.int32(160), np.int32(382)], [np.int32(210), np.int32(382)], [np.int32(210), np.int32(390)], [np.int32(160), np.int32(390)]]",Biriris,0.5382580912842448
74,"[[np.int32(218), np.int32(382)], [np.int32(260), np.int32(382)], [np.int32(260), np.int32(390)], [np.int32(218), np.int32(390)]]",eotiek,0.1977998649677664
75,"[[np.int32(266), np.int32(382)], [np.int32(308), np.int32(382)], [np.int32(308), np.int32(390)], [np.int32(266), np.int32(390)]]",VS 014,0.3815456132336851
76,"[[np.int32(371), np.int32(383)], [np.int32(401), np.int32(383)], [np.int32(401), np.int32(395)], [np.int32(371), np.int32(395)]]",Time,0.9852943420410156
77,"[[np.int32(760), np.int32(368)], [np.int32(990), np.int32(368)], [np.int32(990), np.int32(396)], [np.int32(760), np.int32(396)]]",flag8 Dyastexey 18/0308 [YWY,0.07717646928552828
