measurement,value,measure_datetime
0,Peak Period,9.5,19/05/2025 14.14 ST
1,Mean Period,5.7,19/05/2025 14.14 ST
2,Max Wave,3.28,19/05/2025 14.14 ST
3,Highest 10th,2.69,19/05/2025 14.14 ST
4,Sig Height,2.13,19/05/2025 14.14 ST
5,Swell Direction,259.0,19/05/2025 14.14 ST
6,Peak Period,8.7,19/05/2025 14.44 ST
7,Mean Period,5.6,19/05/2025 14.44 ST
8,Max Wave,3.55,19/05/2025 14.44 ST
9,Highest 10th,2.42,19/05/2025 14.44 ST
10,Sig Height,1.9,19/05/2025 14.44 ST
11,Swell Direction,257.0,19/05/2025 14.44 ST
12,Peak Period,8.7,19/05/2025 14.49 ST
13,Mean Period,5.6,19/05/2025 14.49 ST
14,Max Wave,3.55,19/05/2025 14.49 ST
15,Highest 10th,2.42,19/05/2025 14.49 ST
16,Sig Height,1.9,19/05/2025 14.49 ST
17,Swell Direction,257.0,19/05/2025 14.49 ST
24,Peak Period,9.10,19/05/2025 15.24 ST
25,Mean Period,5.80,19/05/2025 15.24 ST
26,Max Wave,2.97,19/05/2025 15.24 ST
27,Highest 10th,2.44,19/05/2025 15.24 ST
28,Sig Height,1.94,19/05/2025 15.24 ST
29,Swell Direction,256,19/05/2025 15.24 ST
